Alcaldía,Distancia promedio a equipamiento educativo nivel preescolar,Distancia promedio a equipamiento educativo nivel primaria,Distancia promedio a equipamiento educativo nivel secundaria,Distancia promedio a equipamiento educativo nivel basico
Álvaro Obregón,336.61,311.58,575.09,407.76
Azcapotzalco,220.19,228.01,428.02,292.07
Benito Juárez,272.69,327.7,485.08,361.82
Coyoacán,297.84,284.95,475.39,352.73
Cuajimalpa de Morelos,413.22,460.6,692.81,522.21
Cuauhtémoc,217.47,227.23,405.46,282.38
Gustavo A. Madero,294.13,244.79,406.95,315.29
Iztacalco,232.24,211.68,310.02,251.31
Iztapalapa,309.99,264.18,447.18,340.45
La Magdalena Contreras,301.89,276.68,542.26,373.61
Miguel Hidalgo,403.83,436.09,660.77,500.23
Milpa Alta,342.89,452.96,567.88,421.24
Tláhuac,344.3,360.69,560.29,424.76
Tlalpan,402.4,431.8,763.06,532.42
"Venustiano Carranza
",254.24,210.04,380.32,281.53
Xochimilco,422.25,435.27,747.02,534.85
